"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","trial","responses","stimulus","key_press"
"5810","static/html/consent.html","html","0","5868","0.0-0.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","",""
"14759","","survey-text","1","21634","0.0-1.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","{""Q0"":""woman"",""Q1"":""24"",""Q2"":""Polish"",""Q3"":""English"",""Q4"":""Poland""}","",""
"16730","static/html/instructions.html","html","2","39393","0.0-2.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","",""
"-1","","single-stim","3","40897","0.0-3.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","4","43203","0.0-4.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","static/js/jspsych/questions/17P.mp3","-1"
"-1","","single-stim","5","44708","0.0-5.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","6","46259","0.0-6.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","static/js/jspsych/answers/New York.mp3","-1"
"5317","","survey-text","7","52579","0.0-7.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","{""Q0"":""New York""}","",""
"-1","","single-stim","8","54082","0.0-8.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","9","59464","0.0-9.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","static/js/jspsych/questions/9P.mp3","-1"
"-1","","single-stim","10","60969","0.0-10.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","11","63016","0.0-11.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","static/js/jspsych/answers/Ham and pineapple.mp3","-1"
"11218","","survey-text","12","75239","0.0-12.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","{""Q0"":""ham and pineapple""}","",""
"-1","","single-stim","13","76744","0.0-13.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","14","79379","0.0-14.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","static/js/jspsych/questions/8P.mp3","-1"
"-1","","single-stim","15","80882","0.0-15.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","16","82792","0.0-16.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","static/js/jspsych/answers/Donald Trump.mp3","-1"
"4905","","survey-text","17","88700","0.0-17.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","{""Q0"":""Donald Trump""}","",""
"-1","","single-stim","18","90204","0.0-18.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","19","93464","0.0-19.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","static/js/jspsych/questions/13P.mp3","-1"
"-1","","single-stim","20","94967","0.0-20.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","21","96851","0.0-21.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","static/js/jspsych/answers/James bond.mp3","-1"
"2971","","survey-text","22","100825","0.0-22.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","{""Q0"":""James Bond""}","",""
"-1","","single-stim","23","102329","0.0-23.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","24","103971","0.0-24.0","23590","1a","11,0,13,8,10,1,3,9,12,4,6,7,2,5","","static/js/jspsych/questions/23P.mp3","-1"
